"year","total_obs","missing_obs","completeness_rate"
1960,2140912,2095663,2.1
1961,2140912,2140912,0
1962,2140912,2140912,0
1963,2140912,2140912,0
1964,2140912,2140912,0
1965,2140912,2095663,2.1
1966,2140912,2140912,0
1967,2140912,2140912,0
1968,2140912,2140912,0
1969,2140912,2140912,0
1970,2140912,2079204,2.9
1971,2140912,2117672,1.1
1972,2140912,2118092,1.1
1973,2140912,2118104,1.1
1974,2140912,2117910,1.1
1975,2140912,2072179,3.2
1976,2140912,2116416,1.1
1977,2140912,2116732,1.1
1978,2140912,2116759,1.1
1979,2140912,2116572,1.1
1980,2140912,2069934,3.3
1981,2140912,2114789,1.2
1982,2140912,2115771,1.2
1983,2140912,2115656,1.2
1984,2140912,2115400,1.2
1985,2140912,2070402,3.3
1986,2140912,2114871,1.2
1987,2140912,2115639,1.2
1988,2140912,2115840,1.2
1989,2140912,2115628,1.2
1990,2140912,2036850,4.9
1991,2140912,2080978,2.8
1992,2140912,2081454,2.8
1993,2140912,2081042,2.8
1994,2140912,2079462,2.9
1995,2140912,2030580,5.2
1996,2140912,2078618,2.9
1997,2140912,2079683,2.9
1998,2140912,2064957,3.5
1999,2140912,2046552,4.4
2000,2140912,1981718,7.4
2001,2140912,2032539,5.1
2002,2140912,2036534,4.9
2003,2140912,2020647,5.6
2004,2140912,2026400,5.3
2005,2140912,1972430,7.9
2006,2140912,1986666,7.2
2007,2140912,2012377,6
2008,2140912,2024071,5.5
2009,2140912,2004908,6.4
2010,2140912,1915058,10.5
2011,2140912,1988691,7.1
2012,2140912,1989871,7.1
2013,2140912,2005295,6.3
2014,2140912,1997776,6.7
2015,2140912,1932779,9.7
2016,2140912,2027926,5.3
2017,2140912,2042753,4.6
2018,2140912,2026377,5.3
2019,2140912,2083272,2.7
2020,2140912,2083468,2.7
2021,2140912,2139505,0.1
2022,2140912,2140897,0
2023,2140912,2140897,0
2024,2140912,2140912,0
2025,2140912,2090812,2.3
